中证500T-1日上影线和下影线长度之和,中证500指数2点前最长游程幅度,中证500指数2点前游程数量,中证500偏离度与45-450股票开盘偏离度之差,T-1日振幅,T-1日涨跌幅,T日2点前振幅,T日2点前涨跌幅,T-1日成交量与T-2日成交量之比,上证指数开盘幅度,中证500与上证指数开盘幅度之差,中证500指数13点至14点间振幅,沪深300指数13点至14点间振幅,状态
40.38,0.005316157,32,0.020344898,0.012613533,-0.001213172,0.008652457,0.008458126,0.764274877,0.002777515,-0.001878412,0.005052874,0.005978729,0
8.24,0.007417637,31,0.03301275,0.012454349,0.010133461,0.011149291,0.003080628,0.906016717,-0.005267427,0.001391872,0.005185504,0.008409454,2
27.44,0.006852987,29,0.046338016,0.019304866,-0.01140195,0.01505509,-0.005481856,1.151541804,0.001915079,-0.000307091,0.003849993,0.005297881,2
58.89,0.005311959,26,0.014089734,0.017660176,-0.000859014,0.01765625,0.014144761,0.88125907,0.00384682,-0.001626153,0.006930901,0.01754076,1
12.16,0.005024283,29,0.001890228,0.021603103,0.018097888,0.009009451,0.003463938,1.204710875,-0.000445008,0.000560265,0.005771395,0.011334928,1
4.91,0.009242135,31,0.068995306,0.012405729,0.011029147,0.025788414,-0.024783189,1.08925329,-0.012065629,0.002344565,0.009353846,0.008457728,2
22.67,0.008201125,31,0.043383217,0.033898257,-0.026514984,0.017826699,0.01503756,1.28730048,0.00060611,-0.001242602,0.003195424,0.00626365,2
9.59,0.00499137,31,0.003028685,0.025942179,0.023144975,0.013435535,0.011854569,0.780023298,0.003114376,-0.001074454,0.0063215,0.0105078,0
0.18,0.007250727,31,0.035914259,0.013521535,0.013471609,0.021174666,-0.015664956,1.156135975,-0.00289981,0.001325251,0.019924664,0.021693857,1
37.12,0.007654914,30,0.057441219,0.021185801,-0.010591292,0.01758292,-0.005040315,0.943259597,0.000918654,-0.001121415,0.007420902,0.008662349,1
24.17,0.005307285,29,0.039689515,0.017588652,-0.010673612,0.012658546,0.001829779,0.721663401,-0.001700864,0.001202036,0.003847578,0.004764048,1
42.46,0.011158366,29,0.060963023,0.012684268,0.000697749,0.041277786,-0.034320519,0.825581188,-0.00062538,0.000439674,0.012922838,0.011419157,2
62.24,0.007716943,30,0.071354088,0.044072608,-0.025007912,0.018721533,-0.00555099,1.346298528,-0.001961157,-0.000333352,0.012070806,0.009673698,0
40.01,0.009532682,31,0.032667503,0.018727404,-0.006884023,0.012273033,0.004013064,0.712866365,-0.003611889,0.002007159,0.007088755,0.008766386,0
21.28,0.007362368,34,0.024405144,0.012310975,0.006118277,0.027381041,0.012734799,0.883532692,-0.000425737,0.00101603,0.005627811,0.010134055,2
89.64,0.006858618,33,0.050118266,0.027381053,0.001246074,0.011776439,-0.006040133,1.369152366,-0.004959777,0.002185525,0.005571091,0.005172893,1
19.66,0.007600734,37,0.043007978,0.015892999,-0.010037927,0.018641662,-0.002706236,0.951433065,0.001878242,-0.003462671,0.008017862,0.010121188,2
46.82,0.005599038,31,0.002722441,0.018689459,0.004772426,0.022832173,0.021118188,0.9578141,0.000133772,-0.000492175,0.007084353,0.008669586,1
4.33,0.005903928,26,0.000320895,0.027748807,0.026454457,0.015234971,0.010649837,1.308286398,0.000361408,-0.000365315,0.004305597,0.004566659,1
16.44,0.007251518,28,0.010939269,0.015246413,0.010561943,0.009053043,0.000255513,1.070534527,-0.001219785,0.000127942,0.004498521,0.004351413,1
18.22,0.005932716,29,0.025701924,0.010430902,0.005279238,0.011433248,-0.00378075,0.882627799,0.002776441,-0.002386304,0.003682517,0.00358549,1
27.83,0.007394635,31,0.039615189,0.011441641,-0.003571319,0.015128046,-0.006824514,0.929305179,-0.003542719,7.41E-05,0.005899596,0.005649695,1
40.73,0.005667893,27,0.030376373,0.015185886,-0.003512077,0.013426096,-0.001400646,0.958545125,0.000743071,-0.001429935,0.007805928,0.007974325,1
40.2,0.007541237,28,0.057627345,0.014477186,0.003072249,0.020222051,-0.016438247,0.96744379,-0.012391003,0.004800769,0.005670844,0.006491514,2
0.31,0.005806719,37,0.058518679,0.022579719,-0.021993228,0.010443683,0.001530767,1.118142212,0.000979156,-0.000892314,0.005936613,0.005510334,0
33.91,0.00516323,32,0.029041261,0.010455457,-0.000579831,0.011797029,0.008534454,0.764931426,-0.00320444,0.003856848,0.002283541,0.004342043,0
19.43,0.00719187,33,0.044892877,0.011846451,0.006209524,0.021620272,-0.008376276,1.044312535,0.000224443,-1.35E-05,0.006507029,0.007708712,1
41.35,0.009513221,28,0.066927208,0.024721178,-0.012440627,0.015673017,-0.009898292,1.148991909,0.002224429,-0.001816558,0.006369456,0.006711439,0
23.7,0.007096271,29,0.041089897,0.016663562,-0.009522171,0.026612729,0.014613474,0.969821842,-0.013135346,0.000458923,0.007074744,0.005161512,1
39.36,0.00437297,28,0.00826981,0.028971475,0.016899989,0.011256419,0.007897106,0.986378592,0.001743217,-0.001675241,0.002942148,0.003823568,0
5.55,0.005245283,25,0.026814253,0.011291552,0.009664654,0.013360212,-0.007969328,0.943749712,-0.000377336,0.000403527,0.005035048,0.005356316,1
38.47,0.003731596,30,0.036393476,0.013389912,-0.00208741,0.006493591,-0.003101989,1.040028557,0.004888378,-0.003227274,0.004508776,0.005102395,0
13.06,0.007468661,25,0.043203575,0.009579743,-0.005724775,0.00878476,-0.000456386,0.898003775,-0.000657066,-0.000783958,0.00346919,0.003440084,1
19.88,0.006036814,25,0.054961439,0.01287522,-0.006956674,0.010294115,-0.008536404,0.917602719,-0.003148574,-0.000575164,0.0022089,0.002266874,1
10.43,0.009137623,25,0.02584121,0.01366135,-0.010393258,0.015192078,0.011788157,1.000447824,-0.005608584,-0.004319837,0.007843176,0.005833784,2
11.5,0.005849521,31,0.002778883,0.024550002,0.020995862,0.008274458,0.000473105,1.01998703,8.20E-05,-0.000516525,0.004767264,0.003483144,2
8.69,0.006643518,27,0.010186812,0.011710574,0.009111045,0.014712804,0.008480555,0.963188764,-0.005451402,0.00065194,0.003839746,0.005123342,0
23.07,0.005205435,28,0.001220538,0.01479623,0.007950507,0.019521324,0.019255535,1.123405428,0.00156818,-0.001476127,0.003461542,0.007759681,0
3.8,0.005552341,23,0.001717417,0.022086083,0.020973056,0.007623662,0.005589338,1.339792153,-0.003675011,-0.001250011,0.00561304,0.005162274,1
2.28,0.009001894,30,0.054229586,0.010316871,0.009654863,0.024871252,-0.021628895,1.01088664,0.000205993,-0.000889839,0.00468455,0.003619881,1
4.78,0.006238673,29,0.039285699,0.028582649,-0.026430525,0.022702416,0.015245537,0.995589013,0.001266724,-0.001008246,0.008639846,0.014425528,1
10.54,0.007446239,35,0.027468604,0.022776767,0.019655293,0.014000685,-0.001399394,0.973238561,-0.00233255,-0.001004922,0.007600625,0.006900035,2
21.77,0.006235641,28,0.072961858,0.018471941,-0.011980962,0.015023363,-0.007507712,1.150467599,0.002102934,-0.003321033,0.005747835,0.004769897,2
18.19,0.004839344,25,0.05355981,0.023081157,-0.01732635,0.012156532,0.004057305,0.765881147,-0.003279488,-0.00067542,0.003207313,0.004950682,1
11.91,0.006762502,27,0.010553251,0.012207662,0.008624313,0.020240604,0.016100477,0.787065344,0.002235321,4.37E-05,0.004625594,0.007538201,0
11.34,0.006503836,27,0.002776739,0.020275889,0.01693196,0.014802016,0.014107656,1.26515596,0.003137367,-0.000958517,0.004763903,0.003792998,0
2.41,0.006214941,24,0.008735497,0.017530408,0.016833127,0.010215104,-0.000828749,1.188081635,-0.001480607,0.000558776,0.004204422,0.004911607,0
25.48,0.004183923,31,0.012422722,0.010226558,0.002924918,0.008664107,0.006641524,0.931119429,0.003036104,-0.00211073,0.0047086,0.003319203,1
7.15,0.00609078,23,0.025726773,0.010292956,0.008244463,0.011183749,-0.003828906,1.026841299,0.00029557,-0.000842517,0.006217289,0.004658665,2
35.56,0.006788306,28,0.020447695,0.011209379,0.001089558,0.010723514,0.004340796,1.165324443,-0.001847047,0.000244234,0.00695916,0.004988335,0
13.86,0.004548786,25,0.016826868,0.011639712,0.007690076,0.006613159,0.001509495,0.905986718,0.000379139,-0.000389492,0.004917998,0.006103225,0
12.13,0.005574475,27,0.038948078,0.007179939,0.00376542,0.01749971,-0.012012335,0.883561421,-0.001362195,0.000110553,0.005506537,0.003955445,0
24.72,0.006374306,20,0.024883562,0.017516981,-0.010322559,0.008383494,0.005656774,0.96497923,3.60E-05,9.07E-05,0.005541388,0.003458145,2
1.33,0.007260701,27,0.005596525,0.013721097,0.013341785,0.019392997,0.010697479,0.958085959,-0.001536542,0.000774013,0.00407414,0.005500639,0
27.95,0.005072849,28,0.008690557,0.019395823,0.011532148,0.016338568,0.01590586,1.435935176,-0.00087609,2.45E-05,0.008459858,0.01263075,0
5.19,0.00493106,23,0.007024423,0.017619229,0.016183956,0.012522864,0.006064701,1.133698418,0.001504354,0.000838484,0.004280183,0.007635515,0
16.16,0.00620896,21,0.006042199,0.014598184,0.010178131,0.013372848,0.011755227,1.124587666,-0.001249398,0.000160614,0.006919704,0.00418541,0
6.04,0.009228377,23,0.02784889,0.015942935,0.014299603,0.010894787,-0.006111583,1.013342929,-0.000590688,-0.00049,0.007719596,0.005031817,1
27.85,0.008179152,26,0.044416952,0.014691649,-0.007163684,0.013892943,0.005488682,0.964886381,-0.003774713,-0.000377346,0.006112798,0.006964333,2
51.47,0.005164234,33,0.018089861,0.018211711,-0.004333715,0.012063508,0.012063508,0.885166127,0.002525639,-0.002703704,0.010652155,0.008690557,1
0.1,0.004456657,26,0.008213744,0.015723946,0.01569709,0.00824373,0.003781268,0.868988888,-0.000815497,0.001451692,0.004623434,0.00498058,1
2.36,0.008641549,25,0.035793764,0.010131482,0.009501991,0.014803832,0.000591588,1.105305152,0.000137853,-0.000189283,0.005905154,0.008390098,0
51.78,0.003548846,25,0.030976611,0.015732036,0.001973698,0.007405189,0.006093668,1.081798372,0.000955241,-0.000318907,0.003100239,0.004092335,0
4.53,0.004866111,24,0.017628861,0.008000961,0.00681423,0.007556276,0.004082626,0.970826931,-0.003352389,-6.92E-05,0.00516016,0.004508544,0
15.07,0.005548317,27,0.032724833,0.009657855,0.00571665,0.007348953,0.003824034,0.933738908,0.001299661,-0.000653584,0.002296304,0.00270309,2
